price,accommodates,bedrooms,beds,room_type,property_type,latitude,longitude,availability_365,minimum_nights,maximum_nights,number_of_reviews,bathrooms
180.0,3,1.0,2.0,Entire home/apt,Entire rental unit,51.46514218,-0.17270138,363,3,365,8,1.0
905.0,2,1.0,1.0,Entire home/apt,Entire townhouse,51.52097,-0.16566,88,1,28,0,1.0
86.0,2,1.0,0.0,Private room,Private room in loft,51.50415,0.02185,84,1,1125,44,1.0
170.0,6,2.0,3.0,Entire home/apt,Entire condo,51.4934156,-0.1918351,25,2,365,31,1.0
211.0,4,1.0,2.0,Entire home/apt,Entire condo,51.5127,-0.19296,31,10,700,19,1.0
150.0,2,1.0,1.0,Entire home/apt,Entire rental unit,51.5572,-0.16108,172,2,90,14,1.5
91.0,2,1.0,1.0,Entire home/apt,Entire rental unit,51.51426499999999,-0.3003058,56,2,20,138,1.0
90.0,2,1.0,2.0,Private room,Private room in home,51.51761,-0.31074,166,1,30,42,1.0
134.0,4,2.0,2.0,Entire home/apt,Entire rental unit,51.5349039,0.082846,322,2,365,23,1.0
90.0,2,1.0,1.0,Private room,Private room in rental unit,51.493289831140174,-0.2591432270199683,319,1,1125,15,1.5
194.0,5,2.0,3.0,Entire home/apt,Entire rental unit,51.49227794788134,-0.1911300189796131,339,4,365,7,1.0
57.0,2,0.0,2.0,Entire home/apt,Entire rental unit,51.38285,-0.08127,286,4,1125,182,1.0
56.0,1,1.0,1.0,Private room,Private room in condo,51.53403,-0.06963,61,1,15,472,1.0
60.0,1,1.0,1.0,Private room,Private room in rental unit,51.51376,-0.39509,364,28,365,0,1.0
162.0,2,1.0,1.0,Entire home/apt,Entire condo,51.501076,-0.214651,73,5,25,110,1.0
90.0,2,1.0,1.0,Entire home/apt,Entire rental unit,51.57329,0.17894,38,4,1125,8,1.0
57.0,1,1.0,1.0,Private room,Private room in home,51.3502398,-0.1002831,254,4,29,9,1.0
208.0,7,3.0,4.0,Entire home/apt,Entire home,51.51275,0.02841,361,2,1125,6,1.0
166.0,4,2.0,2.0,Entire home/apt,Entire home,51.58154,-0.01533,47,3,365,3,1.0
110.0,4,0.0,3.0,Entire home/apt,Entire rental unit,51.53470508224885,-0.1401106341567395,236,4,365,20,1.0
332.0,8,3.0,5.0,Entire home/apt,Entire condo,51.5317,-0.1699,353,1,1125,37,1.0
250.0,7,3.0,4.0,Entire home/apt,Entire home,51.53723,-0.03118,79,2,30,45,2.0
259.0,2,1.0,1.0,Entire home/apt,Entire rental unit,51.481516814962994,-0.149780534124209,270,30,365,0,1.0
57.0,1,1.0,1.0,Private room,Private room in rental unit,51.53408,-0.09258,145,2,14,19,1.0
121.0,3,1.0,2.0,Private room,Room in hotel,51.51788,-0.12908,355,1,28,7,1.0
419.0,4,1.0,2.0,Entire home/apt,Entire rental unit,51.57522,-0.09412,340,1,1125,29,1.0
40.0,1,1.0,1.0,Private room,Private room in home,51.58624,-0.02878,269,1,365,0,1.0
146.0,4,2.0,2.0,Entire home/apt,Entire rental unit,51.41333004772721,-0.2858482390071432,28,3,365,4,1.0
121.0,4,1.0,1.0,Entire home/apt,Entire rental unit,51.50075,-0.21738,340,3,365,1,1.0
241.0,6,2.0,3.0,Entire home/apt,Entire rental unit,51.50677129458618,-0.1019048001937568,290,1,365,0,2.0
135.0,3,1.0,2.0,Entire home/apt,Entire condo,51.55698,-0.13757,75,2,1125,2,1.0
180.0,5,2.0,4.0,Entire home/apt,Entire rental unit,51.52651386489786,-0.205383114516735,211,2,365,22,1.0
250.0,2,1.0,1.0,Entire home/apt,Entire loft,51.53961,-0.05676,358,2,730,69,1.0
37.0,2,1.0,1.0,Private room,Private room in townhouse,51.45625,-0.01633,252,8,1125,195,2.0
460.0,8,4.0,4.0,Entire home/apt,Entire home,51.45927917481927,-0.0841899236335152,362,1,1125,1,2.0
247.0,5,1.0,0.0,Entire home/apt,Entire rental unit,51.49755,-0.16494,267,10,365,19,2.0
569.0,6,3.0,3.0,Entire home/apt,Entire condo,51.51311,-0.12744,226,2,365,40,2.5
87.0,2,1.0,1.0,Entire home/apt,Entire rental unit,51.55367,-0.24854,177,10,120,12,1.0
250.0,2,1.0,1.0,Private room,Private room in rental unit,51.49736,-0.06875,364,4,4,0,1.0
237.0,3,1.0,1.0,Entire home/apt,Entire rental unit,51.4972398,-0.161382,233,3,45,1,1.0
42.0,1,1.0,1.0,Private room,Private room in home,51.4638936925408,-0.1295216613769612,15,3,365,15,1.0
63.0,2,1.0,0.0,Private room,Private room in home,51.48195431648818,-0.0950278442512662,118,3,90,16,1.0
76.0,2,1.0,1.0,Entire home/apt,Entire condo,51.5613194189845,-0.0050855274468393,296,1,365,4,1.0
49.0,2,1.0,1.0,Private room,Private room in rental unit,51.4866701163542,-0.1384472800497184,184,1,120,172,1.5
207.0,10,2.0,5.0,Entire home/apt,Entire home,51.513944684284645,-0.0506175905324497,73,4,365,108,2.0
59.0,2,1.0,1.0,Private room,Private room in home,51.53536,-0.13826,105,1,365,16,1.5
187.0,4,1.0,1.0,Entire home/apt,Entire rental unit,51.51052824791492,-0.1281432062387466,31,3,365,96,1.0
197.0,2,1.0,1.0,Entire home/apt,Entire rental unit,51.52567389669105,-0.1142661188685642,79,5,30,0,1.0
80.0,1,1.0,1.0,Private room,Private room in home,51.45362,0.15026,364,2,365,0,1.0
189.0,4,2.0,2.0,Entire home/apt,Entire rental unit,51.5124,-0.29785,277,3,365,25,1.0
385.0,6,3.0,3.0,Entire home/apt,Entire rental unit,51.5389437,-0.1337221,231,1,365,9,3.0
103.0,2,1.0,1.0,Entire home/apt,Entire rental unit,51.52387,-0.1965,243,90,365,30,1.0
90.0,2,1.0,1.0,Private room,Private room in home,51.45648,-0.10864,167,2,5,44,0.0
136.0,8,3.0,6.0,Entire home/apt,Entire home,51.59562,-0.03943,364,3,1125,5,2.0
22.0,1,1.0,1.0,Private room,Private room in home,51.40763121556164,-0.1575022684187926,317,1,30,6,1.0
95.0,1,1.0,1.0,Private room,Private room in condo,51.5241649,-0.071396,341,1,1125,6,1.0
122.0,4,1.0,1.0,Entire home/apt,Entire rental unit,51.523713453501166,-0.1767125031528583,269,4,365,1,1.0
63.0,1,1.0,1.0,Private room,Private room in condo,51.48983,-0.0717,251,2,1125,54,1.0
46.0,2,1.0,1.0,Private room,Private room in casa particular,51.4376,-0.12618,365,2,365,48,
208.0,4,1.0,1.0,Entire home/apt,Entire rental unit,51.5094757,-0.0840993,295,1,365,1,1.5
92.0,3,1.0,2.0,Private room,Private room in townhouse,51.53887,-0.14002,73,1,30,0,1.5
40.0,1,1.0,1.0,Private room,Private room in townhouse,51.39398,-0.30917,359,2,1125,22,3.5
80.0,3,1.0,1.0,Private room,Private room in rental unit,51.50239,-0.11084,204,1,365,74,1.0
257.0,5,3.0,3.0,Entire home/apt,Entire home,51.441,-0.158,363,3,1125,1,1.5
700.0,6,3.0,3.0,Entire home/apt,Entire rental unit,51.514241880117126,-0.1061616240266539,0,3,365,6,3.0
145.0,6,2.0,4.0,Entire home/apt,Entire rental unit,51.436139751430574,-0.1978674550072969,155,1,365,13,2.0
179.0,4,1.0,2.0,Entire home/apt,Entire rental unit,51.48942823129124,-0.1362613661315892,59,2,365,21,1.0
42.0,2,1.0,1.0,Private room,Private room in rental unit,51.49238810000001,-0.0625121,58,2,60,32,1.0
